Time Period,SGD
2020-02-15,1.0650
2020-02-14,1.0650
2020-02-13,0.9036
2020-02-12,0.7835
2020-02-11,0.8330
2020-02-10,0.9541
2020-02-09,0.7943
2020-02-08,0.7943
2020-02-07,0.7943
2020-02-06,0.9655
2020-02-05,1.1134
2020-02-04,1.1359
2020-02-03,1.4710
2020-02-02,1.6492
2020-02-01,1.6492
2020-01-31,1.6492
2020-01-30,1.3564
2020-01-29,1.0807
2020-01-28,1.1813
2020-01-27,1.2578
2020-01-26,1.2578
2020-01-25,1.2578
2020-01-24,1.2578
2020-01-23,1.0101
2020-01-22,1.0442
2020-01-21,1.0474
2020-01-20,0.7793
2020-01-19,1.1806
2020-01-18,1.1806
2020-01-17,1.1806
2020-01-16,0.9215
2020-01-15,0.8514
2020-01-14,0.8209
2020-01-13,1.0595
2020-01-12,1.1810
2020-01-11,1.1810
2020-01-10,1.1810
2020-01-09,1.0299
2020-01-08,1.0006
2020-01-07,1.0309
2020-01-06,0.9619
2020-01-05,1.2271
2020-01-04,1.2271
2020-01-03,1.2271
2020-01-02,1.6813
2020-01-01,1.3562
2019-12-31,1.3562
2019-12-30,1.0252
2019-12-29,1.1994
2019-12-28,1.1994
2019-12-27,1.1994
2019-12-26,1.3502
2019-12-25,1.9185
2019-12-24,1.9185
2019-12-23,1.9062
2019-12-22,1.4292
2019-12-21,1.4292
2019-12-20,1.4292
2019-12-19,0.9469
2019-12-18,0.2698
2019-12-17,0.4863
2019-12-16,0.6668
2019-12-15,1.1518
2019-12-14,1.1518
2019-12-13,1.1518
2019-12-12,1.0079
2019-12-11,1.2755
2019-12-10,1.3442
2019-12-09,1.3690
2019-12-08,1.3218
2019-12-07,1.3218
2019-12-06,1.3218
2019-12-05,1.2829
2019-12-04,1.1507
2019-12-03,1.2475
2019-12-02,1.5192
2019-12-01,1.6264
2019-11-30,1.6264
2019-11-29,1.6264
2019-11-28,1.4213
2019-11-27,1.4054
2019-11-26,1.5313
2019-11-25,1.5496
2019-11-24,1.5447
2019-11-23,1.5447
2019-11-22,1.5447
2019-11-21,1.5404
2019-11-20,1.3661
2019-11-19,1.0882
2019-11-18,1.0440
2019-11-17,1.1029
2019-11-16,1.1029
2019-11-15,1.1029
2019-11-14,0.9153
2019-11-13,0.9095
2019-11-12,0.9573
2019-11-11,0.6814
2019-11-10,0.7595
2019-11-09,0.7595
2019-11-08,0.7595
2019-11-07,0.5491
2019-11-06,0.7925
2019-11-05,0.8751
2019-11-04,1.0749
2019-11-03,1.3380
2019-11-02,1.3380
2019-11-01,1.3380
2019-10-31,1.6432
2019-10-30,1.6836
2019-10-29,1.7300
2019-10-28,1.7417
2019-10-27,1.7417
2019-10-26,1.7417
2019-10-25,1.7417
2019-10-24,1.4978
2019-10-23,1.5925
2019-10-22,1.4067
2019-10-21,1.3364
2019-10-20,1.2586
2019-10-19,1.2586
2019-10-18,1.2586
2019-10-17,1.2593
2019-10-16,1.2266
2019-10-15,1.0975
2019-10-14,1.0672
2019-10-13,1.2871
2019-10-12,1.2871
2019-10-11,1.2871
2019-10-10,1.1568
2019-10-09,1.0600
2019-10-08,0.9774
2019-10-07,1.1170
2019-10-06,1.1102
2019-10-05,1.1102
2019-10-04,1.1102
2019-10-03,1.3062
2019-10-02,1.4611
2019-10-01,1.4092
2019-09-30,1.7204
2019-09-29,1.5874
2019-09-28,1.5874
2019-09-27,1.5874
2019-09-26,1.5821
2019-09-25,1.5154
2019-09-24,1.2017
2019-09-23,0.7375
2019-09-22,0.6849
2019-09-21,0.6849
2019-09-20,0.6849
2019-09-19,0.7490
2019-09-18,1.1938
2019-09-17,1.4199
2019-09-16,1.5503
2019-09-15,1.4859
2019-09-14,1.4859
2019-09-13,1.4859
2019-09-12,1.4631
2019-09-11,1.6192
2019-09-10,1.6328
2019-09-09,1.7302
2019-09-08,1.6121
2019-09-07,1.6121
2019-09-06,1.6121
2019-09-05,1.5743
2019-09-04,1.5110
2019-09-03,1.5036
2019-09-02,1.4403
2019-09-01,1.7441
2019-08-31,1.7441
2019-08-30,1.7441
2019-08-29,1.9107
2019-08-28,1.6368
2019-08-27,1.4376
2019-08-26,1.3413
2019-08-25,1.2860
2019-08-24,1.2860
2019-08-23,1.2860
2019-08-22,1.2491
2019-08-21,1.3259
2019-08-20,1.2771
2019-08-19,1.4024
2019-08-18,1.6281
2019-08-17,1.6281
2019-08-16,1.6281
2019-08-15,1.5082
2019-08-14,1.6949
2019-08-13,1.6639
2019-08-12,1.8084
2019-08-11,1.8084
2019-08-10,1.8084
2019-08-09,1.8084
2019-08-08,1.8084
2019-08-07,1.6249
2019-08-06,1.8936
2019-08-05,1.7662
2019-08-04,1.7049
2019-08-03,1.7049
2019-08-02,1.7049
2019-08-01,1.6926
2019-07-31,1.9413
2019-07-30,1.9407
2019-07-29,1.7231
2019-07-28,1.6436
2019-07-27,1.6436
2019-07-26,1.6436
2019-07-25,1.5729
2019-07-24,1.6323
2019-07-23,1.6938
2019-07-22,1.7604
2019-07-21,1.7574
2019-07-20,1.7574
2019-07-19,1.7574
2019-07-18,1.5818
2019-07-17,1.4758
2019-07-16,1.3579
2019-07-15,1.3730
2019-07-14,1.3533
2019-07-13,1.3533
2019-07-12,1.3533
2019-07-11,1.2798
2019-07-10,1.4191
2019-07-09,1.4389
2019-07-08,1.4361
2019-07-07,1.5244
2019-07-06,1.5244
2019-07-05,1.5244
2019-07-04,1.3368
2019-07-03,1.5546
2019-07-02,1.5807
2019-07-01,1.5492
2019-06-30,1.6730
2019-06-29,1.6730
2019-06-28,1.6730
2019-06-27,1.4207
2019-06-26,1.3439
2019-06-25,1.4176
2019-06-24,1.5577
2019-06-23,1.5855
2019-06-22,1.5855
2019-06-21,1.5855
2019-06-20,1.2634
2019-06-19,1.2413
2019-06-18,1.3965
2019-06-17,1.2541
2019-06-16,1.2907
2019-06-15,1.2907
2019-06-14,1.2907
2019-06-13,1.1671
2019-06-12,1.8346
2019-06-11,2.1023
2019-06-10,1.9555
2019-06-09,1.9579
2019-06-08,1.9579
2019-06-07,1.9579
2019-06-06,1.3635
2019-06-05,1.6102
2019-06-04,1.6102
2019-06-03,1.7860
2019-06-02,1.8757
2019-06-01,1.8757
2019-05-31,1.8757
2019-05-30,1.5849
2019-05-29,1.9140
2019-05-28,1.8282
2019-05-27,1.6730
2019-05-26,1.7018
2019-05-25,1.7018
2019-05-24,1.7018
2019-05-23,1.4486
2019-05-22,1.7432
2019-05-21,1.6950
2019-05-20,2.0390
2019-05-19,2.0390
2019-05-18,2.0390
2019-05-17,2.0390
2019-05-16,1.8167
2019-05-15,1.7315
2019-05-14,1.8553
2019-05-13,1.6964
2019-05-12,1.7954
2019-05-11,1.7954
2019-05-10,1.7954
2019-05-09,1.7012
2019-05-08,1.9900
2019-05-07,2.1542
2019-05-06,1.9961
2019-05-05,1.9643
2019-05-04,1.9643
2019-05-03,1.9643
2019-05-02,1.9441
2019-05-01,2.0791
2019-04-30,2.0791
2019-04-29,1.8593
2019-04-28,1.6678
2019-04-27,1.6678
2019-04-26,1.6678
2019-04-25,1.7660
2019-04-24,1.6940
2019-04-23,1.7087
2019-04-22,1.7772
2019-04-21,1.7528
2019-04-20,1.7528
2019-04-19,1.7528
2019-04-18,1.7528
2019-04-17,1.6017
2019-04-16,1.6481
2019-04-15,1.6009
2019-04-14,1.6636
2019-04-13,1.6636
2019-04-12,1.6636
2019-04-11,1.6421
2019-04-10,1.7077
2019-04-09,1.7875
2019-04-08,1.7870
2019-04-07,1.7328
2019-04-06,1.7328
2019-04-05,1.7328
2019-04-04,1.4388
2019-04-03,1.4935
2019-04-02,1.5339
2019-04-01,1.5456
2019-03-31,2.2358
2019-03-30,2.2358
2019-03-29,2.2358
2019-03-28,1.8534
2019-03-27,1.8564
2019-03-26,1.6774
2019-03-25,1.5807
2019-03-24,1.6422
2019-03-23,1.6422
2019-03-22,1.6422
2019-03-21,1.6409
2019-03-20,1.5833
2019-03-19,1.4223
2019-03-18,1.2236
2019-03-17,1.2407
2019-03-16,1.2407
2019-03-15,1.2407
2019-03-14,1.0579
2019-03-13,1.0662
2019-03-12,1.0192
2019-03-11,1.1414
2019-03-10,1.0990
2019-03-09,1.0990
2019-03-08,1.0990
2019-03-07,1.2488
2019-03-06,1.2044
2019-03-05,1.3116
2019-03-04,1.4282
2019-03-03,1.8033
2019-03-02,1.8033
2019-03-01,1.8033
2019-02-28,1.6556
2019-02-27,1.4256
2019-02-26,1.5746
2019-02-25,1.6459
2019-02-24,1.7070
2019-02-23,1.7070
2019-02-22,1.7070
2019-02-21,1.5324
2019-02-20,1.5467
2019-02-19,1.7053
2019-02-18,1.5580
2019-02-17,1.5548
2019-02-16,1.5548
2019-02-15,1.5548
2019-02-14,1.6528
2019-02-13,1.7162
2019-02-12,1.7882
2019-02-11,1.7735
2019-02-10,1.8156
2019-02-09,1.8156
2019-02-08,1.8156
2019-02-07,1.6384
2019-02-06,1.7538
2019-02-05,1.7538
2019-02-04,1.7538
2019-02-03,1.6472
2019-02-02,1.6472
2019-02-01,1.6472
2019-01-31,1.8978
2019-01-30,1.9188
2019-01-29,1.8900
2019-01-28,1.8305
2019-01-27,1.7582
2019-01-26,1.7582
2019-01-25,1.7582
2019-01-24,1.9116
2019-01-23,1.8543
2019-01-22,1.7363
2019-01-21,1.4506
2019-01-20,1.6371
2019-01-19,1.6371
2019-01-18,1.6371
2019-01-17,1.5422
2019-01-16,1.3666
2019-01-15,1.0919
2019-01-14,1.1263
2019-01-13,1.1299
2019-01-12,1.1299
2019-01-11,1.1299
2019-01-10,1.0776
2019-01-09,1.1964
2019-01-08,1.1236
2019-01-07,1.1470
2019-01-06,1.2640
2019-01-05,1.2640
2019-01-04,1.2640
2019-01-03,0.9545
2019-01-02,1.2781
2019-01-01,1.7645
2018-12-31,1.7645
2018-12-30,1.8460
2018-12-29,1.8460
2018-12-28,1.8460
2018-12-27,1.7089
2018-12-26,2.1772
2018-12-25,1.9447
2018-12-24,1.9447
2018-12-23,2.0633
2018-12-22,2.0633
2018-12-21,2.0633
2018-12-20,2.0203
2018-12-19,1.9044
2018-12-18,1.5719
2018-12-17,1.4564
2018-12-16,1.5526
2018-12-15,1.5526
2018-12-14,1.5526
2018-12-13,1.5868
2018-12-12,1.6167
2018-12-11,1.3151
2018-12-10,1.1137
2018-12-09,1.1288
2018-12-08,1.1288
2018-12-07,1.1288
2018-12-06,0.4604
2018-12-05,1.2463
2018-12-04,1.6113
2018-12-03,1.8987
2018-12-02,1.9655
2018-12-01,1.9655
2018-11-30,1.9655
2018-11-29,1.8059
2018-11-28,1.3427
2018-11-27,1.3705
2018-11-26,1.4620
2018-11-25,1.5637
2018-11-24,1.5637
2018-11-23,1.5637
2018-11-22,1.5247
2018-11-21,1.7144
2018-11-20,1.5162
2018-11-19,1.9294
2018-11-18,1.8768
2018-11-17,1.8768
2018-11-16,1.8768
2018-11-15,1.4816
2018-11-14,1.1703
2018-11-13,1.2595
2018-11-12,1.2342
2018-11-11,1.2630
2018-11-10,1.2630
2018-11-09,1.2630
2018-11-08,1.2862
2018-11-07,1.2537
2018-11-06,1.3473
2018-11-05,1.3473
2018-11-04,1.5642
2018-11-03,1.5642
2018-11-02,1.5642
2018-11-01,1.5274
2018-10-31,1.4498
2018-10-30,1.3336
2018-10-29,1.3056
2018-10-28,1.2862
2018-10-27,1.2862
2018-10-26,1.2862
2018-10-25,1.3532
2018-10-24,1.3389
2018-10-23,1.2068
2018-10-22,1.2159
2018-10-21,1.3026
2018-10-20,1.3026
2018-10-19,1.3026
2018-10-18,1.1154
2018-10-17,1.0147
2018-10-16,0.9410
2018-10-15,1.1025
2018-10-14,1.1695
2018-10-13,1.1695
2018-10-12,1.1695
2018-10-11,1.1007
2018-10-10,1.0035
2018-10-09,1.1576
2018-10-08,1.0762
2018-10-07,1.2754
2018-10-06,1.2754
2018-10-05,1.2754
2018-10-04,1.2730
2018-10-03,1.1103
2018-10-02,1.0854
2018-10-01,1.1854
2018-09-30,1.1084
2018-09-29,1.1084
2018-09-28,1.1084
2018-09-27,1.0110
2018-09-26,1.0801
2018-09-25,1.2211
2018-09-24,1.1161
2018-09-23,1.4172
2018-09-22,1.4172
2018-09-21,1.4172
2018-09-20,1.3883
2018-09-19,1.3053
2018-09-18,1.2587
2018-09-17,1.2431
2018-09-16,1.0121
2018-09-15,1.0121
2018-09-14,1.0121
2018-09-13,0.8372
2018-09-12,0.8635
2018-09-11,0.6249
2018-09-10,0.6444
2018-09-09,0.7885
2018-09-08,0.7885
2018-09-07,0.7885
2018-09-06,0.6800
2018-09-05,0.6039
2018-09-04,1.0603
2018-09-03,0.9531
2018-09-02,1.0628
2018-09-01,1.0628
2018-08-31,1.0628
2018-08-30,1.1073
2018-08-29,1.3580
2018-08-28,1.3932
2018-08-27,1.5029
2018-08-26,1.5460
2018-08-25,1.5460
2018-08-24,1.5460
2018-08-23,1.1864
2018-08-22,1.2240
2018-08-21,1.2240
2018-08-20,0.7479
2018-08-19,0.8028
2018-08-18,0.8028
2018-08-17,0.8028
2018-08-16,1.0175
2018-08-15,1.6876
2018-08-14,1.4315
2018-08-13,1.7705
2018-08-12,1.4192
2018-08-11,1.4192
2018-08-10,1.4192
2018-08-09,1.3192
2018-08-08,1.3192
2018-08-07,1.4463
2018-08-06,1.8285
2018-08-05,1.8187
2018-08-04,1.8187
2018-08-03,1.8187
2018-08-02,1.6714
2018-08-01,1.8083
2018-07-31,1.7311
2018-07-30,1.5623
2018-07-29,1.4968
2018-07-28,1.4968
2018-07-27,1.4968
2018-07-26,1.1911
2018-07-25,0.9908
2018-07-24,1.4046
2018-07-23,1.4072
2018-07-22,1.0492
2018-07-21,1.0492
2018-07-20,1.0492
2018-07-19,0.9735
2018-07-18,0.8579
2018-07-17,0.7706
2018-07-16,1.1635
2018-07-15,1.1951
2018-07-14,1.1951
2018-07-13,1.1951
2018-07-12,1.2384
2018-07-11,1.3745
2018-07-10,1.4064
2018-07-09,1.4302
2018-07-08,1.4412
2018-07-07,1.4412
2018-07-06,1.4412
2018-07-05,0.8786
2018-07-04,0.8344
2018-07-03,0.9160
2018-07-02,0.9918
2018-07-01,1.3426
2018-06-30,1.3426
2018-06-29,1.3426
2018-06-28,0.8296
2018-06-27,0.8223
2018-06-26,0.9323
2018-06-25,0.6866
2018-06-24,0.4658
2018-06-23,0.4658
2018-06-22,0.4658
2018-06-21,0.5651
2018-06-20,0.4929
2018-06-19,0.4036
2018-06-18,0.5232
2018-06-17,0.7504
2018-06-16,0.7504
2018-06-15,0.7504
2018-06-14,0.7504
2018-06-13,0.5849
2018-06-12,0.7890
2018-06-11,1.0994
2018-06-10,1.1256
2018-06-09,1.1256
2018-06-08,1.1256
2018-06-07,1.0974
2018-06-06,1.4606
2018-06-05,1.5185
2018-06-04,1.4310
2018-06-03,0.9958
2018-06-02,0.9958
2018-06-01,0.9958
2018-05-31,1.1205
2018-05-30,1.5544
2018-05-29,1.5135
2018-05-28,1.5135
2018-05-27,1.4118
2018-05-26,1.4118
2018-05-25,1.4118
2018-05-24,1.0365
2018-05-23,1.2815
2018-05-22,0.6852
2018-05-21,0.6761
2018-05-20,0.4564
2018-05-19,0.4564
2018-05-18,0.4564
2018-05-17,0.4188
2018-05-16,0.6264
2018-05-15,0.7019
2018-05-14,0.9905
2018-05-13,0.8759
2018-05-12,0.8759
2018-05-11,0.8759
2018-05-10,0.9983
2018-05-09,1.5366
2018-05-08,1.5624
2018-05-07,1.3977
2018-05-06,1.1747
2018-05-05,1.1747
2018-05-04,1.1747
2018-05-03,1.0984
2018-05-02,1.1115
2018-05-01,1.4725
2018-04-30,1.4725
2018-04-29,1.7560
2018-04-28,1.7560
2018-04-27,1.7560
2018-04-26,0.9956
2018-04-25,0.8638
2018-04-24,0.8744
2018-04-23,1.1291
2018-04-22,1.3329
2018-04-21,1.3329
2018-04-20,1.3329
2018-04-19,1.0692
2018-04-18,0.4361
2018-04-17,0.3924
2018-04-16,0.3521
2018-04-15,0.3699
2018-04-14,0.3699
2018-04-13,0.3699
2018-04-12,0.2905
2018-04-11,0.2775
2018-04-10,0.2671
2018-04-09,0.1867
2018-04-08,0.1727
2018-04-07,0.1727
2018-04-06,0.1727
2018-04-05,0.1524
2018-04-04,0.4255
2018-04-03,0.5953
2018-04-02,0.6773
2018-04-01,0.7834
2018-03-31,0.7834
2018-03-30,0.7834
2018-03-29,0.7834
2018-03-28,0.5858
2018-03-27,0.7152
2018-03-26,0.6705
2018-03-25,0.7599
2018-03-24,0.7599
2018-03-23,0.7599
2018-03-22,0.7604
2018-03-21,0.9127
2018-03-20,0.6710
2018-03-19,0.5764
2018-03-18,0.2856
2018-03-17,0.2856
2018-03-16,0.2856
2018-03-15,0.5777
2018-03-14,0.5853
2018-03-13,0.5956
2018-03-12,0.7758
2018-03-11,0.8321
2018-03-10,0.8321
2018-03-09,0.8321
2018-03-08,0.8161
2018-03-07,0.9541
2018-03-06,0.7439
2018-03-05,0.8453
2018-03-04,0.5802
2018-03-03,0.5802
2018-03-02,0.5802
2018-03-01,0.3726
2018-02-28,0.5943
2018-02-27,1.5178
2018-02-26,1.6497
2018-02-25,1.5934
2018-02-24,1.5934
2018-02-23,1.5934
2018-02-22,1.2325
2018-02-21,1.1141
2018-02-20,0.9160
2018-02-19,0.7581
2018-02-18,0.5852
2018-02-17,0.5852
2018-02-16,0.5852
2018-02-15,0.5852
2018-02-14,0.6005
2018-02-13,1.1126
2018-02-12,1.3910
2018-02-11,1.3314
2018-02-10,1.3314
2018-02-09,1.3314
2018-02-08,0.8123
2018-02-07,0.6509
2018-02-06,0.6143
2018-02-05,0.5491
2018-02-04,0.9899
2018-02-03,0.9899
2018-02-02,0.9899
2018-02-01,0.7742
2018-01-31,0.8294
2018-01-30,0.6653
2018-01-29,0.2863
2018-01-28,0.1977
2018-01-27,0.1977
2018-01-26,0.1977
2018-01-25,0.0602
2018-01-24,0.1183
2018-01-23,0.1786
2018-01-22,0.6374
2018-01-21,0.6715
2018-01-20,0.6715
2018-01-19,0.6715
2018-01-18,0.0868
2018-01-17,0.1380
2018-01-16,0.0973
2018-01-15,0.1639
2018-01-14,0.4538
2018-01-13,0.4538
2018-01-12,0.4538
2018-01-11,0.0660
2018-01-10,0.1294
2018-01-09,0.0560
2018-01-08,0.0458
2018-01-07,0.3425
2018-01-06,0.3425
2018-01-05,0.3425
2018-01-04,0.6058
2018-01-03,1.0355
2018-01-02,0.7915
2018-01-01,0.8605
2017-12-31,0.8605
2017-12-30,0.8605
2017-12-29,0.8605
2017-12-28,0.7590
2017-12-27,0.9589
2017-12-26,1.1960
2017-12-25,1.2709
2017-12-24,1.2709
2017-12-23,1.2709
2017-12-22,1.2709
2017-12-21,1.0005
2017-12-20,0.9310
2017-12-19,0.9375
2017-12-18,0.8309
2017-12-17,0.7399
2017-12-16,0.7399
2017-12-15,0.7399
2017-12-14,0.7550
2017-12-13,0.8442
2017-12-12,0.9218
2017-12-11,0.8323
2017-12-10,0.7820
2017-12-09,0.7820
2017-12-08,0.7820
2017-12-07,0.7247
2017-12-06,0.7437
2017-12-05,0.8293
2017-12-04,0.9920
2017-12-03,1.2101
2017-12-02,1.2101
2017-12-01,1.2101
2017-11-30,1.2592
2017-11-29,1.1968
2017-11-28,0.7853
2017-11-27,0.6674
2017-11-26,0.5353
2017-11-25,0.5353
2017-11-24,0.5353
2017-11-23,0.3673
2017-11-22,0.1709
2017-11-21,0.2509
2017-11-20,0.4900
2017-11-19,0.5547
2017-11-18,0.5547
2017-11-17,0.5547
2017-11-16,0.5430
2017-11-15,0.5585
2017-11-14,0.6693
2017-11-13,0.6976
2017-11-12,1.0026
2017-11-11,1.0026
2017-11-10,1.0026
2017-11-09,0.8199
2017-11-08,0.8014
2017-11-07,0.7264
2017-11-06,0.7117
2017-11-05,0.8203
2017-11-04,0.8203
2017-11-03,0.8203
2017-11-02,0.7605
2017-11-01,1.0400
2017-10-31,1.0968
2017-10-30,1.1744
2017-10-29,1.1225
2017-10-28,1.1225
2017-10-27,1.1225
2017-10-26,1.1275
2017-10-25,1.3334
2017-10-24,1.2133
2017-10-23,1.4066
2017-10-22,1.3715
2017-10-21,1.3715
2017-10-20,1.3715
2017-10-19,1.0110
2017-10-18,0.6918
2017-10-17,0.6918
2017-10-16,0.6978
2017-10-15,0.6888
2017-10-14,0.6888
2017-10-13,0.6888
2017-10-12,0.6971
2017-10-11,0.6725
2017-10-10,0.5824
2017-10-09,0.6312
2017-10-08,0.6093
2017-10-07,0.6093
2017-10-06,0.6093
2017-10-05,0.4652
2017-10-04,0.3605
2017-10-03,0.5746
2017-10-02,0.5872
2017-10-01,0.5979
2017-09-30,0.5979
2017-09-29,0.5979
2017-09-28,0.5562
2017-09-27,0.6652
2017-09-26,0.5617
2017-09-25,0.5900
2017-09-24,0.7077
2017-09-23,0.7077
2017-09-22,0.7077
2017-09-21,0.6471
2017-09-20,0.6871
2017-09-19,0.5091
2017-09-18,0.5204
2017-09-17,0.2772
2017-09-16,0.2772
2017-09-15,0.2772
2017-09-14,0.3192
2017-09-13,0.4524
2017-09-12,0.7175
2017-09-11,0.8189
2017-09-10,0.7084
2017-09-09,0.7084
2017-09-08,0.7084
2017-09-07,0.5901
2017-09-06,0.7411
2017-09-05,0.8973
2017-09-04,0.8749
2017-09-03,0.5189
2017-09-02,0.5189
2017-09-01,0.5189
2017-08-31,0.5189
2017-08-30,0.2874
2017-08-29,0.5851
2017-08-28,1.1370
2017-08-27,1.2455
2017-08-26,1.2455
2017-08-25,1.2455
2017-08-24,1.0179
2017-08-23,0.9766
2017-08-22,0.9036
2017-08-21,0.8527
2017-08-20,0.8218
2017-08-19,0.8218
2017-08-18,0.8218
2017-08-17,0.6699
2017-08-16,0.7716
2017-08-15,0.7048
2017-08-14,0.6628
2017-08-13,0.4601
2017-08-12,0.4601
2017-08-11,0.4601
2017-08-10,0.3925
2017-08-09,0.4332
2017-08-08,0.4332
2017-08-07,0.4968
2017-08-06,0.6899
2017-08-05,0.6899
2017-08-04,0.6899
2017-08-03,0.6009
2017-08-02,0.9353
2017-08-01,0.8904
2017-07-31,0.9860
2017-07-30,0.7337
2017-07-29,0.7337
2017-07-28,0.7337
2017-07-27,0.5795
2017-07-26,0.7354
2017-07-25,0.7800
2017-07-24,0.7706
2017-07-23,0.6979
2017-07-22,0.6979
2017-07-21,0.6979
2017-07-20,0.5738
2017-07-19,0.4248
2017-07-18,0.2644
2017-07-17,0.3072
2017-07-16,0.3909
2017-07-15,0.3909
2017-07-14,0.3909
2017-07-13,0.5523
2017-07-12,0.9984
2017-07-11,1.0680
2017-07-10,1.1877
2017-07-09,1.1808
2017-07-08,1.1808
2017-07-07,1.1808
2017-07-06,0.9298
2017-07-05,1.2275
2017-07-04,1.2140
2017-07-03,0.8275
2017-07-02,0.8239
2017-07-01,0.8239
2017-06-30,0.8239
2017-06-29,1.1955
2017-06-28,0.9212
2017-06-27,0.7300
2017-06-26,1.1334
2017-06-25,1.1334
2017-06-24,1.1334
2017-06-23,1.1334
2017-06-22,0.4513
2017-06-21,0.2760
2017-06-20,0.1526
2017-06-19,0.1576
2017-06-18,0.1433
2017-06-17,0.1433
2017-06-16,0.1433
2017-06-15,0.1495
2017-06-14,0.1126
2017-06-13,0.0917
2017-06-12,0.2335
2017-06-11,0.2618
2017-06-10,0.2618
2017-06-09,0.2618
2017-06-08,0.4644
2017-06-07,0.8227
2017-06-06,0.7110
2017-06-05,0.6237
2017-06-04,0.5698
2017-06-03,0.5698
2017-06-02,0.5698
2017-06-01,0.3647
2017-05-31,0.4503
2017-05-30,0.4404
2017-05-29,0.3589
2017-05-28,0.4495
2017-05-27,0.4495
2017-05-26,0.4495
2017-05-25,0.3323
2017-05-24,0.4127
2017-05-23,0.4187
2017-05-22,0.5613
2017-05-21,0.5588
2017-05-20,0.5588
2017-05-19,0.5588
2017-05-18,0.5199
2017-05-17,0.5820
2017-05-16,0.7252
2017-05-15,0.5159
2017-05-14,0.5746
2017-05-13,0.5746
2017-05-12,0.5746
2017-05-11,0.5050
2017-05-10,0.4974
2017-05-09,0.4974
2017-05-08,0.4946
2017-05-07,0.4690
2017-05-06,0.4690
2017-05-05,0.4690
2017-05-04,0.3957
2017-05-03,0.5120
2017-05-02,0.4460
2017-05-01,0.4526
2017-04-30,0.4526
2017-04-29,0.4526
2017-04-28,0.4526
2017-04-27,0.3922
2017-04-26,0.5996
2017-04-25,0.4835
2017-04-24,0.4397
2017-04-23,0.4809
2017-04-22,0.4809
2017-04-21,0.4809
2017-04-20,0.3620
2017-04-19,0.2470
2017-04-18,0.3628
2017-04-17,0.4296
2017-04-16,0.7076
2017-04-15,0.7076
2017-04-14,0.7076
2017-04-13,0.7076
2017-04-12,0.4849
2017-04-11,0.3735
2017-04-10,0.2675
2017-04-09,0.1849
2017-04-08,0.1849
2017-04-07,0.1849
2017-04-06,0.2147
2017-04-05,0.3076
2017-04-04,0.3758
2017-04-03,0.6962
2017-04-02,0.5687
2017-04-01,0.5687
2017-03-31,0.5687
2017-03-30,0.4343
2017-03-29,0.4827
